Algorithm,Directed,Nodes,Edges,Seed,Run,StartNode,RuntimeMs,MemoryBeforeKB,MemoryAfterKB,MemoryDeltaKB,Visited
BFS,true,100,111,42,1,28,5.114166,1155,1525,370,21
BFS,true,100,111,42,2,33,0.16425,1181,1222,41,1
DFS,true,100,111,42,1,33,0.182209,1180,1221,41,1
DFS,true,100,111,42,2,20,0.148916,1181,1222,41,1
BipartiteCheck,true,100,111,42,1,10,0.500125,1181,1222,41,21
BipartiteCheck,true,100,111,42,2,93,0.252958,1181,1222,41,21
Dijkstra,true,100,110,42,1,29,1.378875,1181,1271,90,1
Dijkstra,true,100,110,42,2,49,0.168292,1188,1229,41,1
BellmanFord,true,100,110,42,1,97,0.665334,1188,1270,82,600
BellmanFord,true,100,110,42,2,37,0.274584,1190,1231,41,200
AStar,true,100,110,42,1,60,0.405292,1190,1272,82,7
AStar,true,100,110,42,2,38,0.220166,1190,1231,41,5
MaxFlow_EdmondsKarp,true,100,110,42,1,47,0.162334,1190,1273,83,0
MaxFlow_EdmondsKarp,true,100,110,42,2,86,0.150542,1191,1273,82,0
BFS,true,100,103,1337,1,89,0.204875,1189,1230,41,6
BFS,true,100,103,1337,2,64,0.354875,1189,1271,82,14
DFS,true,100,103,1337,1,50,0.179541,1189,1230,41,3
DFS,true,100,103,1337,2,12,0.241333,1189,1230,41,6
BipartiteCheck,true,100,103,1337,1,97,0.145542,1189,1230,41,7
BipartiteCheck,true,100,103,1337,2,27,0.15525,1189,1230,41,7
Dijkstra,true,100,111,1337,1,74,0.129208,1189,1230,41,1
Dijkstra,true,100,111,1337,2,59,0.340334,1189,1271,82,24
BellmanFord,true,100,111,1337,1,7,0.220458,1189,1230,41,100
BellmanFord,true,100,111,1337,2,46,0.349625,1191,1232,41,300
AStar,true,100,111,1337,1,78,0.431208,1191,1272,81,24
AStar,true,100,111,1337,2,63,0.226083,1191,1232,41,10
MaxFlow_EdmondsKarp,true,100,111,1337,1,72,0.145833,1191,1273,82,0
MaxFlow_EdmondsKarp,true,100,111,1337,2,96,0.13225,1191,1273,82,0
BFS,true,100,93,2024,1,89,0.179083,1188,1229,41,2
BFS,true,100,93,2024,2,6,0.139875,1188,1229,41,1
DFS,true,100,93,2024,1,18,0.259542,1188,1229,41,10
DFS,true,100,93,2024,2,44,0.178208,1188,1229,41,3
BipartiteCheck,true,100,93,2024,1,54,0.151667,1188,1229,41,8
BipartiteCheck,true,100,93,2024,2,26,0.134084,1188,1229,41,8
Dijkstra,true,100,101,2024,1,50,0.354208,1188,1270,82,34
Dijkstra,true,100,101,2024,2,54,0.126042,1188,1229,41,1
BellmanFord,true,100,101,2024,1,73,0.210708,1188,1229,41,200
BellmanFord,true,100,101,2024,2,18,0.294209,1189,1273,84,400
AStar,true,100,101,2024,1,53,0.141667,1189,1230,41,1
AStar,true,100,101,2024,2,43,0.116708,1189,1230,41,1
MaxFlow_EdmondsKarp,true,100,101,2024,1,41,0.221041,1189,1272,83,0
MaxFlow_EdmondsKarp,true,100,101,2024,2,90,0.137834,1189,1272,83,0
BFS,true,100,484,42,1,76,2.794208,1204,3052,1848,99
BFS,true,100,484,42,2,23,2.147708,1204,3153,1949,99
DFS,true,100,484,42,1,90,0.1095,1204,1242,38,1
DFS,true,100,484,42,2,67,3.830792,1204,3485,2281,99
BipartiteCheck,true,100,484,42,1,44,0.173834,1204,1281,77,4
BipartiteCheck,true,100,484,42,2,10,0.121667,1204,1281,77,4
Dijkstra,true,100,470,42,1,56,0.656792,1204,1436,232,98
Dijkstra,true,100,470,42,2,28,0.5725,1205,1438,233,98
BellmanFord,true,100,470,42,1,97,0.970875,1205,1438,233,500
BellmanFord,true,100,470,42,2,0,0.972583,1205,1438,233,500
AStar,true,100,470,42,1,6,0.700333,1205,1438,233,98
AStar,true,100,470,42,2,96,0.128292,1205,1283,78,2
MaxFlow_EdmondsKarp,true,100,470,42,1,40,0.983625,1205,1360,155,43
MaxFlow_EdmondsKarp,true,100,470,42,2,34,0.974791,1205,1360,155,45
BFS,true,100,446,1337,1,18,1.452625,1204,3080,1876,100
BFS,true,100,446,1337,2,53,1.257583,1204,3081,1877,100
DFS,true,100,446,1337,1,20,2.963875,1204,1298,94,100
DFS,true,100,446,1337,2,79,2.764625,1204,5499,4295,100
BipartiteCheck,true,100,446,1337,1,62,0.132333,1204,1298,94,9
BipartiteCheck,true,100,446,1337,2,43,0.131792,1204,1298,94,9
Dijkstra,true,100,477,1337,1,29,0.600084,1204,1391,187,99
Dijkstra,true,100,477,1337,2,3,0.584333,1206,1392,186,99
BellmanFord,true,100,477,1337,1,56,1.13475,1206,1486,280,600
BellmanFord,true,100,477,1337,2,30,0.99375,1206,1392,186,500
AStar,true,100,477,1337,1,3,0.462792,1206,1392,186,42
AStar,true,100,477,1337,2,28,0.148209,1206,1299,93,8
MaxFlow_EdmondsKarp,true,100,477,1337,1,95,0.479833,1206,1392,186,76
MaxFlow_EdmondsKarp,true,100,477,1337,2,20,0.4605,1206,1392,186,65
BFS,true,100,484,2024,1,66,2.512375,1204,3164,1960,100
BFS,true,100,484,2024,2,78,2.354917,1204,3163,1959,100
DFS,true,100,484,2024,1,89,5.520334,1204,5675,4471,100
DFS,true,100,484,2024,2,59,5.117375,1204,5575,4371,100
BipartiteCheck,true,100,484,2024,1,84,0.131041,1204,1293,89,10
BipartiteCheck,true,100,484,2024,2,97,0.117,1204,1293,89,10
Dijkstra,true,100,467,2024,1,73,0.602167,1204,1471,267,100
Dijkstra,true,100,467,2024,2,68,0.609125,1206,1384,178,100
BellmanFord,true,100,467,2024,1,57,1.113416,1206,1477,271,600
BellmanFord,true,100,467,2024,2,99,1.0885,1206,1473,267,600
AStar,true,100,467,2024,1,14,0.196458,1206,1295,89,13
AStar,true,100,467,2024,2,73,0.229041,1206,1384,178,19
MaxFlow_EdmondsKarp,true,100,467,2024,1,76,0.67725,1206,1384,178,76
MaxFlow_EdmondsKarp,true,100,467,2024,2,51,0.17025,1206,1295,89,4
BFS,true,100,940,42,1,75,2.91575,1219,3356,2137,100
BFS,true,100,940,42,2,93,2.556833,1219,3431,2212,100
DFS,true,100,940,42,1,70,12.599375,1219,4307,3088,100
DFS,true,100,940,42,2,82,5.846375,1219,4540,3321,100
BipartiteCheck,true,100,940,42,1,23,0.126584,1219,1310,91,4
BipartiteCheck,true,100,940,42,2,78,0.108042,1219,1310,91,4
Dijkstra,true,100,881,42,1,54,0.64825,1219,1401,182,100
Dijkstra,true,100,881,42,2,28,0.642,1220,1402,182,100
BellmanFord,true,100,881,42,1,45,1.646458,1220,1493,273,600
BellmanFord,true,100,881,42,2,76,1.68525,1220,1493,273,600
AStar,true,100,881,42,1,68,0.397333,1220,1402,182,18
AStar,true,100,881,42,2,91,0.162167,1220,1311,91,6
MaxFlow_EdmondsKarp,true,100,881,42,1,64,0.543125,1220,1402,182,116
MaxFlow_EdmondsKarp,true,100,881,42,2,61,0.54375,1220,1402,182,139
BFS,true,100,968,1337,1,84,1.083542,1222,3453,2231,100
BFS,true,100,968,1337,2,57,0.789708,1222,3438,2216,100
DFS,true,100,968,1337,1,96,4.465083,1222,5845,4623,100
DFS,true,100,968,1337,2,1,3.746584,1222,5530,4308,100
BipartiteCheck,true,100,968,1337,1,96,0.108625,1222,1314,92,3
BipartiteCheck,true,100,968,1337,2,32,0.104959,1222,1314,92,3
Dijkstra,true,100,964,1337,1,84,0.718208,1222,1406,184,100
Dijkstra,true,100,964,1337,2,80,0.753875,1223,1408,185,100
BellmanFord,true,100,964,1337,1,70,1.583208,1223,1500,277,500
BellmanFord,true,100,964,1337,2,3,1.589625,1223,1500,277,500
AStar,true,100,964,1337,1,5,0.218166,1223,1408,185,13
AStar,true,100,964,1337,2,6,0.169583,1223,1316,93,6
MaxFlow_EdmondsKarp,true,100,964,1337,1,59,0.49375,1223,1408,185,126
MaxFlow_EdmondsKarp,true,100,964,1337,2,11,0.399916,1223,1408,185,86
BFS,true,100,976,2024,1,53,0.796167,1221,3362,2141,100
BFS,true,100,976,2024,2,56,0.765417,1221,3438,2217,100
DFS,true,100,976,2024,1,60,4.198459,1221,5846,4625,100
DFS,true,100,976,2024,2,11,3.482917,1221,5295,4074,100
BipartiteCheck,true,100,976,2024,1,86,0.112375,1221,1319,98,4
BipartiteCheck,true,100,976,2024,2,10,0.104959,1221,1319,98,4
Dijkstra,true,100,950,2024,1,20,0.650584,1221,1417,196,100
Dijkstra,true,100,950,2024,2,54,0.652416,1223,1418,195,100
BellmanFord,true,100,950,2024,1,49,1.766,1223,1618,395,600
BellmanFord,true,100,950,2024,2,69,1.800958,1223,1516,293,600
AStar,true,100,950,2024,1,64,0.137917,1223,1321,98,3
AStar,true,100,950,2024,2,8,0.197209,1223,1418,195,17
MaxFlow_EdmondsKarp,true,100,950,2024,1,74,0.436916,1223,1418,195,71
MaxFlow_EdmondsKarp,true,100,950,2024,2,6,0.399,1223,1419,196,94
BFS,true,500,2449,42,1,491,17.411042,1451,38859,37408,499
BFS,true,500,2449,42,2,392,16.380458,1451,31696,30245,499
DFS,true,500,2449,42,1,391,29.160709,1451,9704,8253,499
DFS,true,500,2449,42,2,68,27.738166,1451,18917,17466,499
BipartiteCheck,true,500,2449,42,1,417,0.193125,1451,1553,102,11
BipartiteCheck,true,500,2449,42,2,313,0.122292,1451,1553,102,11
Dijkstra,true,500,2404,42,1,389,1.742666,1451,2468,1017,497
Dijkstra,true,500,2404,42,2,107,1.509583,1459,2375,916,497
BellmanFord,true,500,2404,42,1,34,3.199708,1459,3735,2276,4500
BellmanFord,true,500,2404,42,2,451,1.89175,1459,3498,2039,4500
AStar,true,500,2404,42,1,271,0.575542,1459,1828,369,50
AStar,true,500,2404,42,2,346,0.585167,1459,1920,461,75
MaxFlow_EdmondsKarp,true,500,2404,42,1,165,2.704041,1459,2667,1208,71
MaxFlow_EdmondsKarp,true,500,2404,42,2,217,6.275708,1459,2852,1393,139
BFS,true,500,2519,1337,1,101,16.170459,1455,40911,39456,499
BFS,true,500,2519,1337,2,404,16.684542,1455,32214,30759,499
DFS,true,500,2519,1337,1,487,31.894458,1455,19434,17979,499
DFS,true,500,2519,1337,2,106,33.935542,1455,29156,27701,499
BipartiteCheck,true,500,2519,1337,1,405,0.1955,1455,1557,102,8
BipartiteCheck,true,500,2519,1337,2,19,0.150041,1455,1557,102,8
Dijkstra,true,500,2489,1337,1,135,1.532917,1455,2468,1013,495
Dijkstra,true,500,2489,1337,2,429,1.444959,1463,2475,1012,495
BellmanFord,true,500,2489,1337,1,281,2.330959,1463,3398,1935,4000
BellmanFord,true,500,2489,1337,2,170,1.374,1463,3094,1631,3000
AStar,true,500,2489,1337,1,99,0.920875,1463,1666,203,23
AStar,true,500,2489,1337,2,234,0.825125,1463,2172,709,153
MaxFlow_EdmondsKarp,true,500,2489,1337,1,182,6.357,1463,2892,1429,136
MaxFlow_EdmondsKarp,true,500,2489,1337,2,202,2.444083,1463,2690,1227,65
BFS,true,500,2498,2024,1,169,23.992166,1455,40400,38945,498
BFS,true,500,2498,2024,2,426,42.868625,1455,32214,30759,498
DFS,true,500,2498,2024,1,498,31.784209,1455,12784,11329,498
DFS,true,500,2498,2024,2,444,29.787875,1455,28131,26676,498
BipartiteCheck,true,500,2498,2024,1,73,0.175,1455,1556,101,10
BipartiteCheck,true,500,2498,2024,2,134,0.1135,1455,1556,101,10
Dijkstra,true,500,2485,2024,1,296,1.498833,1455,2467,1012,496
Dijkstra,true,500,2485,2024,2,17,1.520541,1463,2475,1012,496
BellmanFord,true,500,2485,2024,1,310,1.723417,1463,3713,2250,5000
BellmanFord,true,500,2485,2024,2,169,1.735041,1463,3690,2227,4500
AStar,true,500,2485,2024,1,316,1.537917,1463,2738,1275,378
AStar,true,500,2485,2024,2,250,0.709916,1463,2132,669,144
MaxFlow_EdmondsKarp,true,500,2485,2024,1,377,1.362834,1463,2571,1108,28
MaxFlow_EdmondsKarp,true,500,2485,2024,2,176,1.312125,1463,2655,1192,47
BFS,true,500,12416,42,1,386,16.864417,2100,13922,11822,500
BFS,true,500,12416,42,2,323,17.622292,2100,43617,41517,500
DFS,true,500,12416,42,1,448,553.489958,2100,45881,43781,500
DFS,true,500,12416,42,2,268,577.469917,2100,15117,13017,500
BipartiteCheck,true,500,12416,42,1,237,0.189416,2100,2243,143,4
BipartiteCheck,true,500,12416,42,2,356,0.143,2100,2243,143,4
Dijkstra,true,500,12381,42,1,377,3.90525,2100,3837,1737,500
Dijkstra,true,500,12381,42,2,120,4.204209,2108,3845,1737,500
BellmanFord,true,500,12381,42,1,425,3.484625,2108,6774,4666,3000
BellmanFord,true,500,12381,42,2,400,3.902416,2108,7161,5053,3500
AStar,true,500,12381,42,1,323,0.558917,2108,2659,551,20
AStar,true,500,12381,42,2,48,0.20325,2108,2246,138,2
MaxFlow_EdmondsKarp,true,500,12381,42,1,78,12.357958,2108,4569,2461,350
MaxFlow_EdmondsKarp,true,500,12381,42,2,318,9.347083,2108,4295,2187,273
BFS,true,500,12319,1337,1,390,15.901708,2091,37465,35374,500
BFS,true,500,12319,1337,2,81,15.038,2091,37468,35377,500
DFS,true,500,12319,1337,1,349,575.190875,2091,43830,41739,500
DFS,true,500,12319,1337,2,261,534.350625,2091,37630,35539,500
BipartiteCheck,true,500,12319,1337,1,8,0.248792,2091,2233,142,2
BipartiteCheck,true,500,12319,1337,2,435,0.148792,2091,2233,142,2
Dijkstra,true,500,12264,1337,1,496,1.797292,2091,3823,1732,500
Dijkstra,true,500,12264,1337,2,407,1.640167,2099,3831,1732,500
BellmanFord,true,500,12264,1337,1,403,3.125416,2099,6620,4521,3000
BellmanFord,true,500,12264,1337,2,269,3.144917,2099,7004,4905,3000
AStar,true,500,12264,1337,1,337,0.828125,2099,2775,676,34
AStar,true,500,12264,1337,2,274,0.7355,2099,2775,676,36
MaxFlow_EdmondsKarp,true,500,12264,1337,1,79,10.677541,2099,4071,1972,203
