Step,Action,Node,Neighbor,OldG,NewG,H,NewF,OpenSize
0,Pop,496,,,,,,0
1,Relax,496,256,2147483647,14,241,255,1
2,Relax,496,257,2147483647,15,240,255,2
3,Relax,496,259,2147483647,20,238,258,3
4,Relax,496,4,2147483647,6,493,499,4
5,Relax,496,263,2147483647,8,234,242,5
6,Relax,496,9,2147483647,3,488,491,6
7,Relax,496,265,2147483647,5,232,237,7
8,Relax,496,272,2147483647,15,225,240,8
9,Relax,496,17,2147483647,7,480,487,9
10,Relax,496,275,2147483647,20,222,242,10
11,Relax,496,279,2147483647,11,218,229,11
12,Relax,496,24,2147483647,6,473,479,12
13,Relax,496,280,2147483647,17,217,234,13
14,Relax,496,27,2147483647,18,470,488,14
15,Relax,496,283,2147483647,2,214,216,15
16,Relax,496,29,2147483647,17,468,485,16
17,Relax,496,30,2147483647,14,467,481,17
18,Relax,496,289,2147483647,2,208,210,18
19,Relax,496,39,2147483647,12,458,470,19
20,Relax,496,297,2147483647,19,200,219,20
21,Relax,496,42,2147483647,6,455,461,21
22,Relax,496,49,2147483647,13,448,461,22
23,Relax,496,52,2147483647,8,445,453,23
24,Relax,496,54,2147483647,9,443,452,24
25,Relax,496,313,2147483647,13,184,197,25
26,Relax,496,58,2147483647,5,439,444,26
27,Relax,496,59,2147483647,7,438,445,27
28,Relax,496,315,2147483647,16,182,198,28
29,Relax,496,319,2147483647,11,178,189,29
30,Relax,496,66,2147483647,8,431,439,30
31,Relax,496,69,2147483647,5,428,433,31
32,Relax,496,325,2147483647,16,172,188,32
33,Relax,496,326,2147483647,7,171,178,33
34,Relax,496,328,2147483647,4,169,173,34
35,Relax,496,72,2147483647,8,425,433,35
36,Relax,496,78,2147483647,20,419,439,36
37,Relax,496,334,2147483647,2,163,165,37
38,Relax,496,79,2147483647,4,418,422,38
39,Relax,496,81,2147483647,13,416,429,39
40,Relax,496,342,2147483647,20,155,175,40
41,Relax,496,345,2147483647,14,152,166,41
42,Relax,496,350,2147483647,19,147,166,42
43,Relax,496,95,2147483647,16,402,418,43
44,Relax,496,354,2147483647,5,143,148,44
45,Relax,496,359,2147483647,5,138,143,45
46,Relax,496,363,2147483647,2,134,136,46
47,Relax,496,108,2147483647,8,389,397,47
48,Relax,496,110,2147483647,6,387,393,48
49,Relax,496,374,2147483647,17,123,140,49
50,Relax,496,376,2147483647,8,121,129,50
51,Relax,496,377,2147483647,8,120,128,51
52,Relax,496,122,2147483647,17,375,392,52
53,Relax,496,379,2147483647,19,118,137,53
54,Relax,496,123,2147483647,9,374,383,54
55,Relax,496,380,2147483647,2,117,119,55
56,Relax,496,127,2147483647,10,370,380,56
57,Relax,496,386,2147483647,2,111,113,57
58,Relax,496,131,2147483647,9,366,375,58
59,Relax,496,132,2147483647,4,365,369,59
60,Relax,496,392,2147483647,12,105,117,60
61,Relax,496,137,2147483647,6,360,366,61
62,Relax,496,393,2147483647,10,104,114,62
63,Relax,496,146,2147483647,2,351,353,63
64,Relax,496,147,2147483647,5,350,355,64
65,Relax,496,403,2147483647,17,94,111,65
66,Relax,496,149,2147483647,5,348,353,66
67,Relax,496,151,2147483647,8,346,354,67
68,Relax,496,408,2147483647,18,89,107,68
69,Relax,496,409,2147483647,3,88,91,69
70,Relax,496,156,2147483647,5,341,346,70
71,Relax,496,164,2147483647,20,333,353,71
72,Relax,496,420,2147483647,8,77,85,72
73,Relax,496,170,2147483647,16,327,343,73
74,Relax,496,171,2147483647,4,326,330,74
75,Relax,496,433,2147483647,14,64,78,75
76,Relax,496,437,2147483647,17,60,77,76
77,Relax,496,438,2147483647,20,59,79,77
78,Relax,496,184,2147483647,9,313,322,78
79,Relax,496,441,2147483647,7,56,63,79
80,Relax,496,187,2147483647,10,310,320,80
81,Relax,496,190,2147483647,9,307,316,81
82,Relax,496,447,2147483647,6,50,56,82
83,Relax,496,192,2147483647,6,305,311,83
84,Relax,496,450,2147483647,18,47,65,84
85,Relax,496,195,2147483647,9,302,311,85
86,Relax,496,196,2147483647,5,301,306,86
87,Relax,496,454,2147483647,14,43,57,87
88,Relax,496,201,2147483647,16,296,312,88
89,Relax,496,205,2147483647,7,292,299,89
90,Relax,496,461,2147483647,17,36,53,90
91,Relax,496,463,2147483647,2,34,36,91
92,Relax,496,211,2147483647,19,286,305,92
93,Relax,496,472,2147483647,18,25,43,93
94,Relax,496,217,2147483647,18,280,298,94
95,Relax,496,219,2147483647,17,278,295,95
96,Relax,496,222,2147483647,10,275,285,96
97,Relax,496,224,2147483647,15,273,288,97
98,Relax,496,481,2147483647,10,16,26,98
99,Relax,496,228,2147483647,18,269,287,99
100,Relax,496,485,2147483647,8,12,20,100
