Iteration,Action,U,V,OldDist,NewDist
1,Relax,31,0,2147483647,16
1,Relax,31,32,2147483647,7
1,Relax,31,33,2147483647,8
1,Relax,31,3,2147483647,5
1,Relax,31,5,2147483647,5
1,Relax,31,12,2147483647,2
1,Relax,31,15,2147483647,13
1,Relax,31,48,2147483647,15
1,Relax,31,80,2147483647,18
1,Relax,31,85,2147483647,14
1,Relax,31,86,2147483647,16
1,Relax,31,87,2147483647,19
1,Relax,31,24,2147483647,17
1,Relax,31,58,2147483647,17
1,Relax,31,62,2147483647,1
1,Relax,31,95,2147483647,19
1,Relax,32,64,2147483647,12
1,Relax,32,96,2147483647,19
1,Relax,32,34,2147483647,14
1,Relax,32,66,2147483647,25
1,Relax,32,37,2147483647,11
1,Relax,32,72,2147483647,25
1,Relax,32,44,2147483647,22
1,Relax,32,76,2147483647,10
1,Relax,32,13,2147483647,12
1,Relax,32,79,2147483647,18
1,Relax,32,48,15,13
1,Relax,32,50,2147483647,9
1,Relax,32,20,2147483647,12
1,Relax,32,56,2147483647,16
1,Relax,32,25,2147483647,27
1,Relax,32,30,2147483647,22
1,Relax,33,2,2147483647,12
1,Relax,33,18,2147483647,27
1,Relax,33,35,2147483647,18
1,Relax,33,99,2147483647,11
1,Relax,33,72,25,20
1,Relax,33,42,2147483647,10
1,Relax,33,11,2147483647,27
1,Relax,33,28,2147483647,24
1,Relax,33,63,2147483647,19
1,Relax,34,98,2147483647,21
1,Relax,34,40,2147483647,30
1,Relax,34,52,2147483647,25
1,Relax,34,53,2147483647,24
1,Relax,34,23,2147483647,33
1,Relax,34,57,2147483647,31
1,Relax,34,92,2147483647,22
1,Relax,34,29,2147483647,21
1,Relax,35,39,2147483647,24
1,Relax,35,71,2147483647,27
1,Relax,35,8,2147483647,32
1,Relax,35,9,2147483647,30
1,Relax,35,75,2147483647,28
1,Relax,35,77,2147483647,27
1,Relax,35,51,2147483647,23
1,Relax,35,54,2147483647,19
1,Relax,35,26,2147483647,23
1,Relax,37,65,2147483647,27
1,Relax,37,67,2147483647,31
1,Relax,37,69,2147483647,20
1,Relax,37,6,2147483647,24
1,Relax,37,8,32,19
1,Relax,37,41,2147483647,26
1,Relax,37,43,2147483647,22
1,Relax,37,52,25,23
1,Relax,37,22,2147483647,22
1,Relax,37,27,2147483647,24
1,Relax,37,30,22,12
1,Relax,39,4,2147483647,28
1,Relax,39,45,2147483647,42
1,Relax,39,46,2147483647,38
1,Relax,39,81,2147483647,38
1,Relax,39,19,2147483647,26
1,Relax,39,84,2147483647,27
1,Relax,39,55,2147483647,44
1,Relax,40,68,2147483647,40
1,Relax,40,45,42,35
1,Relax,40,17,2147483647,47
1,Relax,40,49,2147483647,34
1,Relax,40,59,2147483647,41
1,Relax,40,94,2147483647,40
1,Relax,41,97,2147483647,46
1,Relax,41,38,2147483647,30
1,Relax,41,10,2147483647,29
1,Relax,41,46,38,27
1,Relax,41,17,47,45
1,Relax,41,21,2147483647,46
1,Relax,41,60,2147483647,37
1,Relax,42,38,30,12
1,Relax,42,44,22,21
1,Relax,42,45,35,27
1,Relax,42,82,2147483647,12
1,Relax,42,83,2147483647,18
1,Relax,42,53,24,21
1,Relax,42,91,2147483647,20
1,Relax,43,73,2147483647,42
1,Relax,43,74,2147483647,23
1,Relax,43,47,2147483647,31
1,Relax,43,18,27,26
1,Relax,43,23,33,30
1,Relax,43,55,44,36
1,Relax,43,90,2147483647,36
1,Relax,43,60,37,23
1,Relax,43,93,2147483647,40
1,Relax,44,97,46,40
1,Relax,44,70,2147483647,23
1,Relax,44,40,30,23
1,Relax,44,49,34,24
1,Relax,44,84,27,23
1,Relax,45,16,2147483647,42
1,Relax,45,81,38,28
1,Relax,46,78,2147483647,43
1,Relax,46,59,41,36
1,Relax,46,61,2147483647,45
1,Relax,46,93,40,35
1,Relax,46,94,40,33
1,Relax,48,1,2147483647,20
1,Relax,48,7,2147483647,14
1,Relax,49,67,31,25
1,Relax,49,36,2147483647,34
1,Relax,50,4,28,26
1,Relax,50,71,27,11
1,Relax,50,47,31,12
1,Relax,50,80,18,16
1,Relax,50,53,21,18
1,Relax,50,23,30,23
1,Relax,50,26,23,11
1,Relax,50,94,33,25
1,Relax,51,73,42,28
1,Relax,51,17,45,31
1,Relax,51,81,28,24
1,Relax,51,21,46,32
1,Relax,52,21,32,29
1,Relax,53,65,27,26
1,Relax,53,17,31,26
1,Relax,53,88,2147483647,19
1,Relax,54,9,30,20
1,Relax,54,17,26,24
1,Relax,54,25,27,20
1,Relax,54,93,35,25
1,Relax,56,18,26,24
1,Relax,56,21,29,24
1,Relax,56,89,2147483647,31
1,Relax,56,59,36,23
1,Relax,58,4,26,20
1,Relax,58,18,24,21
1,Relax,59,97,40,30
1,Relax,59,75,28,26
1,Relax,59,78,43,27
1,Relax,60,68,40,28
1,Relax,62,48,13,6
1,Relax,62,35,18,10
1,Relax,62,52,23,21
1,Relax,62,26,11,5
1,Relax,62,59,23,11
1,Relax,62,75,26,19
1,Relax,62,60,23,5
1,Relax,62,30,12,9
1,Relax,63,10,29,24
1,Relax,64,65,26,21
1,Relax,64,6,24,22
1,Relax,64,40,23,16
1,Relax,64,77,27,13
1,Relax,64,80,16,15
1,Relax,64,61,45,17
1,Relax,64,63,19,18
1,Relax,65,89,31,30
1,Relax,65,90,36,26
1,Relax,66,73,28,26
1,Relax,69,22,22,21
1,Relax,70,14,2147483647,34
1,Relax,71,67,25,18
1,Relax,71,7,14,12
1,Relax,71,9,20,19
1,Relax,71,18,21,19
1,Relax,71,84,23,14
1,Relax,71,21,24,23
1,Relax,71,55,36,14
1,Relax,71,89,30,18
1,Relax,71,27,24,13
1,Relax,71,92,22,13
1,Relax,72,46,27,22
1,Relax,72,16,42,35
1,Relax,74,16,35,34
1,Relax,75,14,34,29
1,Relax,76,6,22,18
1,Relax,76,40,16,14
1,Relax,76,9,19,15
1,Relax,76,74,23,13
1,Relax,76,43,22,13
1,Relax,76,45,27,24
1,Relax,76,89,18,16
1,Relax,76,93,25,13
1,Relax,77,36,34,25
1,Relax,77,16,34,18
1,Relax,79,68,28,19
1,Relax,79,78,27,26
1,Relax,79,51,23,21
1,Relax,80,65,21,19
1,Relax,80,79,18,16
1,Relax,80,25,20,18
1,Relax,81,14,29,26
1,Relax,82,8,19,14
1,Relax,82,14,26,16
1,Relax,83,81,24,22
1,Relax,83,94,25,23
1,Relax,84,81,22,20
1,Relax,84,19,26,15
1,Relax,84,39,24,17
1,Relax,84,91,20,17
1,Relax,84,44,21,16
1,Relax,85,0,16,15
1,Relax,85,69,20,15
1,Relax,85,51,21,19
1,Relax,86,98,21,19
1,Relax,86,68,19,18
1,Relax,86,90,26,21
1,Relax,86,28,24,17
1,Relax,87,11,27,24
1,Relax,87,49,24,22
1,Relax,89,96,19,17
1,Relax,89,97,30,17
1,Relax,89,6,18,17
1,Relax,89,23,23,20
1,Relax,91,11,24,20
1,Relax,92,46,22,16
1,Relax,92,57,31,17
1,Relax,92,90,21,18
1,Relax,93,18,19,14
1,Relax,93,25,18,15
1,Relax,93,94,23,17
1,Relax,94,17,24,23
1,Relax,95,49,22,21
1,Relax,98,41,26,20
1,Relax,99,73,26,19
1,Relax,99,84,14,13
2,Relax,0,36,25,21
2,Relax,0,78,26,25
2,Relax,0,17,23,17
2,Relax,1,10,24,22
2,Relax,2,1,20,16
2,Relax,2,97,17,13
2,Relax,2,98,19,13
2,Relax,2,68,18,15
2,Relax,2,19,15,13
2,Relax,3,67,18,12
2,Relax,3,70,23,7
2,Relax,3,8,14,6
2,Relax,3,10,22,7
2,Relax,3,74,13,10
2,Relax,3,11,20,12
2,Relax,3,75,19,9
2,Relax,3,13,12,7
2,Relax,3,16,18,11
2,Relax,3,89,16,13
2,Relax,3,28,17,6
2,Relax,3,95,19,7
2,Relax,3,97,13,9
2,Relax,3,53,18,10
2,Relax,3,63,18,10
2,Relax,5,73,19,17
2,Relax,5,45,24,6
2,Relax,7,83,18,17
2,Relax,8,65,19,18
2,Relax,8,82,12,8
2,Relax,8,23,20,17
2,Relax,8,87,19,18
2,Relax,8,91,17,9
2,Relax,8,93,13,12
2,Relax,8,43,13,9
2,Relax,8,51,19,15
2,Relax,8,54,19,17
2,Relax,9,96,17,16
2,Relax,9,17,17,16
2,Relax,9,54,17,16
2,Relax,10,1,16,9
2,Relax,10,4,20,18
2,Relax,10,41,20,10
2,Relax,10,16,11,9
2,Relax,11,87,18,17
2,Relax,11,88,19,17
2,Relax,12,64,12,11
2,Relax,12,2,12,9
2,Relax,12,67,12,8
2,Relax,12,42,10,6
2,Relax,12,79,16,10
2,Relax,12,16,9,8
2,Relax,12,54,16,8
2,Relax,12,88,17,12
2,Relax,13,66,25,17
2,Relax,13,72,20,16
2,Relax,13,19,13,11
2,Relax,13,87,17,11
2,Relax,14,81,20,18
2,Relax,15,66,17,15
2,Relax,15,78,25,17
2,Relax,15,21,23,17
2,Relax,15,56,16,15
2,Relax,18,57,17,16
2,Relax,18,94,17,16
2,Relax,19,39,17,13
2,Relax,19,84,13,12
2,Relax,20,6,17,13
2,Relax,26,0,15,7
2,Relax,26,14,16,8
2,Relax,26,80,15,11
2,Relax,26,50,9,7
2,Relax,26,52,21,7
2,Relax,26,22,21,7
2,Relax,26,29,21,16
2,Relax,26,61,17,6
2,Relax,28,4,18,13
2,Relax,28,86,16,7
2,Relax,29,49,21,20
2,Relax,30,96,16,13
2,Relax,30,37,11,10
2,Relax,38,83,17,13
2,Relax,38,56,15,13
2,Relax,40,49,20,18
2,Relax,41,98,13,11
2,Relax,41,46,16,11
