Step,Action,Node,Neighbor,ColorNode,ColorNeighbor
0,ColorStart,0,,0,
1,ColorAssign,0,25,0,1
2,ColorAssign,0,72,0,1
3,ColorAssign,0,73,0,1
4,ColorAssign,0,99,0,1
5,ColorAssign,0,105,0,1
6,ColorAssign,0,155,0,1
7,ColorAssign,0,215,0,1
8,ColorAssign,0,291,0,1
9,ColorAssign,0,299,0,1
10,ColorAssign,0,307,0,1
11,ColorAssign,0,321,0,1
12,ColorAssign,0,325,0,1
13,ColorAssign,0,363,0,1
14,ColorAssign,0,382,0,1
15,ColorAssign,0,383,0,1
16,ColorAssign,0,387,0,1
17,ColorAssign,0,414,0,1
18,ColorAssign,0,421,0,1
19,ColorAssign,0,428,0,1
20,ColorAssign,0,485,0,1
21,ColorAssign,0,11,0,1
22,ColorAssign,0,26,0,1
23,ColorAssign,0,33,0,1
24,ColorAssign,0,110,0,1
25,ColorAssign,0,132,0,1
26,ColorAssign,0,140,0,1
27,ColorAssign,0,141,0,1
28,ColorAssign,0,151,0,1
29,ColorAssign,0,167,0,1
30,ColorAssign,0,178,0,1
31,ColorAssign,0,190,0,1
32,ColorAssign,0,229,0,1
33,ColorAssign,0,237,0,1
34,ColorAssign,0,268,0,1
35,ColorAssign,0,271,0,1
36,ColorAssign,0,294,0,1
37,ColorAssign,0,305,0,1
38,ColorAssign,0,341,0,1
39,ColorAssign,0,342,0,1
40,ColorAssign,0,352,0,1
41,ColorAssign,0,362,0,1
42,ColorAssign,0,374,0,1
43,ColorAssign,0,405,0,1
44,ColorAssign,0,406,0,1
45,ColorAssign,0,422,0,1
46,ColorAssign,0,447,0,1
47,ColorAssign,0,451,0,1
48,Conflict,25,26,1,1
