Step,Action,Node,StackState,VisitedSet
0,PushStart,1,[1],[]
1,Visit,1,[],[1]
2,Push,95,[95],[1]
3,Push,91,"[91, 95]",[1]
4,Push,66,"[66, 91, 95]",[1]
5,Push,63,"[63, 66, 91, 95]",[1]
6,Push,51,"[51, 63, 66, 91, 95]",[1]
7,Push,46,"[46, 51, 63, 66, 91, 95]",[1]
8,Push,45,"[45, 46, 51, 63, 66, 91, 95]",[1]
9,Push,39,"[39, 45, 46, 51, 63, 66, 91, 95]",[1]
10,Push,34,"[34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
11,Push,31,"[31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
12,Push,27,"[27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
13,Push,26,"[26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
14,Push,21,"[21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
15,Push,14,"[14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
16,Push,10,"[10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
17,Push,4,"[4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
18,Push,3,"[3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
19,Push,85,"[85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
20,Push,84,"[84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
21,Push,80,"[80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
22,Push,70,"[70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
23,Push,56,"[56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
24,Push,31,"[31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
25,Push,30,"[30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
26,Push,21,"[21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
27,Push,20,"[20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
28,Push,10,"[10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
29,Push,9,"[9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
30,Push,2,"[2, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]",[1]
31,Visit,2,"[9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
32,Push,59,"[59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
33,Push,55,"[55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
34,Push,52,"[52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
35,Push,34,"[34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
36,Push,11,"[11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
37,Push,5,"[5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
38,Push,94,"[94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
39,Push,91,"[91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
40,Push,79,"[79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
41,Push,71,"[71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
42,Push,67,"[67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
43,Push,63,"[63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
44,Push,59,"[59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
45,Push,54,"[54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
46,Push,26,"[26, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2]"
47,Visit,26,"[54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
48,Push,85,"[85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
49,Push,76,"[76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
50,Push,58,"[58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
51,Push,53,"[53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
52,Push,50,"[50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
53,Push,48,"[48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
54,Push,41,"[41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
55,Push,31,"[31, 41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
56,Push,99,"[99, 31, 41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
57,Push,96,"[96, 99, 31, 41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
58,Push,94,"[94, 96, 99, 31, 41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
59,Push,84,"[84, 94, 96, 99, 31, 41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
60,Push,65,"[65, 84, 94, 96, 99, 31, 41, 48, 50, 53, 58, 76, 85, 54, 59, 63, 67, 71, 79, 91, 94, 5, 11, 34, 52, 55, 59, 9, 10, 20, 21, 30, 31, 56, 70, 80, 84, 85, 3, 4, 10, 14, 21, 26, 27, 31, 34, 39, 45, 46, 51, 63, 66, 91, 95]","[1, 2, 26]"
