Algorithm,Directed,Nodes,Edges,Seed,Run,StartNode,RuntimeMs,MemoryBeforeKB,MemoryAfterKB,MemoryDeltaKB,Visited
BFS,true,100,111,42,1,28,0.123125,1153,1483,330,21
BFS,true,100,111,42,2,33,0.007166,1187,1228,41,1
BFS,true,100,111,42,3,33,0.0055,1187,1228,41,1
DFS,true,100,111,42,1,20,0.208042,1187,1228,41,1
DFS,true,100,111,42,2,10,0.012042,1187,1228,41,2
DFS,true,100,111,42,3,93,0.041458,1187,1228,41,21
BipartiteCheck,true,100,111,42,1,29,2.964834,1187,1393,206,8
BipartiteCheck,true,100,111,42,2,49,0.143375,1200,1241,41,1
BipartiteCheck,true,100,111,42,3,97,0.201834,1200,1241,41,16
Dijkstra,true,100,110,42,1,37,3.6705,1200,1456,256,4
Dijkstra,true,100,110,42,2,60,0.623,1220,1302,82,7
Dijkstra,true,100,110,42,3,38,0.585583,1220,1302,82,20
Bellman-Ford,true,100,110,42,1,47,3.519917,1220,1630,410,100
Bellman-Ford,true,100,110,42,2,86,2.716791,1221,1631,410,100
Bellman-Ford,true,100,110,42,3,89,2.625125,1221,1631,410,100
A*,true,100,110,42,1,64,1.024375,1221,1303,82,1
A*,true,100,110,42,2,50,0.547833,1223,1305,82,16
A*,true,100,110,42,3,12,0.576166,1223,1305,82,4
MaxFlow,true,100,110,42,1,97,0.220042,1223,1347,124,18
MaxFlow,true,100,110,42,2,27,384.109125,1223,1347,124,1
MaxFlow,true,100,110,42,3,74,0.464625,1223,1347,124,4
BFS,true,100,103,1337,1,59,0.007,1221,1262,41,1
BFS,true,100,103,1337,2,7,0.028333,1221,1262,41,18
BFS,true,100,103,1337,3,46,0.007542,1221,1262,41,6
DFS,true,100,103,1337,1,78,0.0105,1221,1262,41,5
DFS,true,100,103,1337,2,63,0.019375,1221,1262,41,11
DFS,true,100,103,1337,3,72,0.008042,1221,1262,41,2
BipartiteCheck,true,100,103,1337,1,96,0.136083,1221,1262,41,1
BipartiteCheck,true,100,103,1337,2,89,0.124875,1221,1262,41,6
BipartiteCheck,true,100,103,1337,3,6,0.513792,1221,1262,41,7
Dijkstra,true,100,111,1337,1,18,0.278375,1221,1303,82,1
Dijkstra,true,100,111,1337,2,44,0.242125,1221,1303,82,15
Dijkstra,true,100,111,1337,3,54,0.233583,1222,1304,82,13
Bellman-Ford,true,100,111,1337,1,26,0.945,1222,1632,410,100
Bellman-Ford,true,100,111,1337,2,50,0.791875,1223,1633,410,100
Bellman-Ford,true,100,111,1337,3,54,0.825625,1223,1633,410,100
A*,true,100,111,1337,1,73,0.202,1223,1305,82,23
A*,true,100,111,1337,2,18,0.167584,1223,1305,82,1
A*,true,100,111,1337,3,53,0.186959,1223,1305,82,2
MaxFlow,true,100,111,1337,1,43,0.152833,1223,1347,124,12
MaxFlow,true,100,111,1337,2,41,0.139375,1223,1347,124,2
MaxFlow,true,100,111,1337,3,90,0.099666,1223,1347,124,1
BFS,true,100,93,2024,1,76,0.01775,1220,1261,41,11
BFS,true,100,93,2024,2,23,0.0045,1220,1261,41,2
BFS,true,100,93,2024,3,90,0.00375,1220,1261,41,3
DFS,true,100,93,2024,1,67,0.009,1220,1261,41,2
DFS,true,100,93,2024,2,44,0.008625,1220,1261,41,3
DFS,true,100,93,2024,3,10,0.0045,1220,1261,41,3
BipartiteCheck,true,100,93,2024,1,56,0.120666,1220,1261,41,13
BipartiteCheck,true,100,93,2024,2,28,0.090209,1220,1261,41,1
BipartiteCheck,true,100,93,2024,3,97,0.085959,1220,1261,41,1
Dijkstra,true,100,101,2024,1,0,0.210541,1220,1302,82,31
Dijkstra,true,100,101,2024,2,6,0.153875,1221,1303,82,1
Dijkstra,true,100,101,2024,3,96,0.143833,1221,1303,82,2
Bellman-Ford,true,100,101,2024,1,40,0.712708,1221,1631,410,100
Bellman-Ford,true,100,101,2024,2,34,0.611625,1222,1632,410,100
Bellman-Ford,true,100,101,2024,3,18,0.665042,1222,1632,410,100
A*,true,100,101,2024,1,53,0.158416,1222,1304,82,1
A*,true,100,101,2024,2,20,0.145625,1222,1304,82,1
A*,true,100,101,2024,3,79,0.144458,1222,1304,82,1
MaxFlow,true,100,101,2024,1,62,0.139834,1222,1345,123,12
MaxFlow,true,100,101,2024,2,43,0.105875,1222,1345,123,1
MaxFlow,true,100,101,2024,3,29,0.162083,1222,1345,123,29
BFS,true,100,83,2025,1,3,0.003958,1218,1259,41,2
BFS,true,100,83,2025,2,56,0.004125,1218,1259,41,4
BFS,true,100,83,2025,3,30,0.005208,1218,1259,41,2
DFS,true,100,83,2025,1,3,0.004917,1218,1259,41,2
DFS,true,100,83,2025,2,28,0.004459,1218,1259,41,4
DFS,true,100,83,2025,3,95,0.001834,1218,1259,41,1
BipartiteCheck,true,100,83,2025,1,20,0.07725,1218,1259,41,3
BipartiteCheck,true,100,83,2025,2,66,0.093583,1218,1259,41,1
BipartiteCheck,true,100,83,2025,3,78,0.078292,1218,1259,41,1
Dijkstra,true,100,82,2025,1,89,0.142208,1218,1300,82,1
Dijkstra,true,100,82,2025,2,59,0.128375,1218,1300,82,1
Dijkstra,true,100,82,2025,3,84,0.156791,1218,1300,82,8
Bellman-Ford,true,100,82,2025,1,97,0.553917,1218,1670,452,100
Bellman-Ford,true,100,82,2025,2,73,0.540125,1220,1630,410,100
Bellman-Ford,true,100,82,2025,3,68,0.558666,1220,1630,410,100
A*,true,100,82,2025,1,57,0.207583,1220,1302,82,15
A*,true,100,82,2025,2,99,0.2315,1220,1302,82,1
A*,true,100,82,2025,3,14,0.155666,1220,1302,82,1
MaxFlow,true,100,82,2025,1,73,0.130583,1220,1344,124,1
MaxFlow,true,100,82,2025,2,76,0.160958,1220,1344,124,15
MaxFlow,true,100,82,2025,3,51,0.112625,1220,1344,124,1
BFS,true,100,484,42,1,75,0.096542,1236,1277,41,99
BFS,true,100,484,42,2,93,0.100417,1236,1277,41,99
BFS,true,100,484,42,3,70,0.081209,1236,1277,41,99
DFS,true,100,484,42,1,82,0.303166,1236,1277,41,99
DFS,true,100,484,42,2,23,0.237917,1236,1277,41,99
DFS,true,100,484,42,3,78,0.204333,1236,1318,82,99
BipartiteCheck,true,100,484,42,1,54,0.174625,1236,1277,41,6
BipartiteCheck,true,100,484,42,2,28,0.333583,1236,1277,41,9
BipartiteCheck,true,100,484,42,3,45,0.113459,1236,1277,41,2
Dijkstra,true,100,470,42,1,76,0.450792,1236,1318,82,99
Dijkstra,true,100,470,42,2,68,0.384125,1238,1320,82,98
Dijkstra,true,100,470,42,3,91,0.36675,1238,1320,82,98
Bellman-Ford,true,100,470,42,1,64,2.515666,1238,1648,410,100
Bellman-Ford,true,100,470,42,2,61,2.682375,1238,1648,410,100
Bellman-Ford,true,100,470,42,3,84,3.003458,1238,1648,410,100
A*,true,100,470,42,1,57,1.056666,1238,1320,82,98
A*,true,100,470,42,2,96,0.790458,1238,1320,82,99
A*,true,100,470,42,3,1,0.454292,1238,1320,82,98
MaxFlow,true,100,470,42,1,96,3.765625,1238,1485,247,911
MaxFlow,true,100,470,42,2,32,1.071292,1259,1423,164,314
MaxFlow,true,100,470,42,3,84,1.360417,1258,1464,206,1328
BFS,true,100,446,1337,1,80,0.072958,1257,1298,41,100
BFS,true,100,446,1337,2,70,0.062375,1257,1298,41,100
BFS,true,100,446,1337,3,3,0.778125,1257,1298,41,100
DFS,true,100,446,1337,1,5,0.1695,1257,1298,41,100
DFS,true,100,446,1337,2,6,0.121166,1257,1298,41,100
DFS,true,100,446,1337,3,59,0.123625,1257,1298,41,100
BipartiteCheck,true,100,446,1337,1,11,23.98625,1257,1298,41,3
BipartiteCheck,true,100,446,1337,2,53,0.133542,1257,1298,41,4
BipartiteCheck,true,100,446,1337,3,56,0.126625,1257,1298,41,8
Dijkstra,true,100,477,1337,1,60,0.71525,1257,1339,82,99
Dijkstra,true,100,477,1337,2,11,0.304625,1259,1341,82,99
Dijkstra,true,100,477,1337,3,86,0.3045,1259,1341,82,99
Bellman-Ford,true,100,477,1337,1,10,1.159583,1259,1669,410,100
Bellman-Ford,true,100,477,1337,2,20,1.084375,1259,1341,82,100
Bellman-Ford,true,100,477,1337,3,54,1.093917,1259,1341,82,100
A*,true,100,477,1337,1,49,0.319458,1259,1341,82,99
A*,true,100,477,1337,2,69,0.298458,1259,1341,82,104
A*,true,100,477,1337,3,64,0.312708,1259,1341,82,100
MaxFlow,true,100,477,1337,1,8,0.712375,1259,1423,164,574
MaxFlow,true,100,477,1337,2,74,1.198625,1259,1424,165,795
MaxFlow,true,100,477,1337,3,6,13.804083,1259,1423,164,552
BFS,true,100,484,2024,1,91,0.068708,1257,1298,41,100
BFS,true,100,484,2024,2,92,0.065667,1257,1298,41,100
BFS,true,100,484,2024,3,91,0.062042,1257,1298,41,100
DFS,true,100,484,2024,1,68,0.129875,1257,1298,41,100
DFS,true,100,484,2024,2,17,0.128417,1257,1298,41,100
DFS,true,100,484,2024,3,13,0.126042,1257,1298,41,100
BipartiteCheck,true,100,484,2024,1,89,0.122541,1257,1298,41,4
BipartiteCheck,true,100,484,2024,2,7,0.109292,1257,1298,41,7
BipartiteCheck,true,100,484,2024,3,34,0.161958,1257,1298,41,6
Dijkstra,true,100,467,2024,1,51,0.370458,1257,1339,82,100
Dijkstra,true,100,467,2024,2,71,0.300875,1258,1340,82,100
Dijkstra,true,100,467,2024,3,46,1.029375,1258,1340,82,100
Bellman-Ford,true,100,467,2024,1,65,1.247334,1258,1668,410,100
Bellman-Ford,true,100,467,2024,2,17,1.240291,1258,1668,410,100
Bellman-Ford,true,100,467,2024,3,1,1.233334,1258,1668,410,100
A*,true,100,467,2024,1,4,9.912791,1258,1340,82,100
A*,true,100,467,2024,2,87,0.318166,1258,1340,82,100
A*,true,100,467,2024,3,6,0.305,1258,1340,82,102
MaxFlow,true,100,467,2024,1,5,0.332708,1258,1423,165,349
